timestamp,action,view,value
2025-03-11 10:31:40.529,Window_Level,Yellow2,"(243, 151)"
2025-03-11 10:31:40.532,Window_Level,Yellow2,"(246, 142)"
2025-03-11 10:31:40.633,Window_Level,Yellow2,"(246, 130)"
2025-03-11 10:31:40.636,Window_Level,Yellow2,"(246, 129)"
2025-03-11 10:31:40.747,Window_Level,Yellow2,"(246, 122)"
2025-03-11 10:31:40.941,Window_Level,Yellow2,"(246, 121)"
2025-03-11 10:31:40.943,End Window_Level,Yellow2,
2025-03-11 10:31:41.592,Start Pan,Yellow2,
2025-03-11 10:31:41.598,Pan,Yellow2,"(225, 141)"
2025-03-11 10:31:41.625,Pan,Yellow2,"(223, 138)"
2025-03-11 10:31:41.720,Pan,Yellow2,"(220, 132)"
2025-03-11 10:31:41.727,Pan,Yellow2,"(219, 131)"
2025-03-11 10:31:41.754,Pan,Yellow2,"(217, 125)"
2025-03-11 10:31:42.037,Pan,Yellow2,"(217, 124)"
2025-03-11 10:31:42.039,End Pan,Yellow2,
2025-03-11 10:31:44.813,Start Window_Level,Yellow1,
2025-03-11 10:31:44.815,Window_Level,Yellow1,"(198, 121)"
2025-03-11 10:31:44.917,Window_Level,Yellow1,"(199, 115)"
2025-03-11 10:31:44.920,Window_Level,Yellow1,"(202, 99)"
2025-03-11 10:31:45.027,Window_Level,Yellow1,"(207, 85)"
2025-03-11 10:31:45.030,Window_Level,Yellow1,"(211, 75)"
2025-03-11 10:31:45.139,Window_Level,Yellow1,"(215, 63)"
2025-03-11 10:31:45.142,Window_Level,Yellow1,"(218, 50)"
2025-03-11 10:31:45.280,Window_Level,Yellow1,"(220, 44)"
2025-03-11 10:31:45.283,Window_Level,Yellow1,"(221, 42)"
2025-03-11 10:31:45.486,End Window_Level,Yellow1,
2025-03-11 10:31:49.135,Start Pan,Yellow1,
2025-03-11 10:31:49.141,Pan,Yellow1,"(187, 135)"
2025-03-11 10:31:49.422,Pan,Yellow1,"(189, 123)"
2025-03-11 10:31:49.441,Pan,Yellow1,"(190, 121)"
2025-03-11 10:31:49.561,Pan,Yellow1,"(190, 116)"
2025-03-11 10:31:49.568,Pan,Yellow1,"(190, 113)"
2025-03-11 10:31:49.595,Pan,Yellow1,"(190, 105)"
2025-03-11 10:31:49.655,Pan,Yellow1,"(191, 102)"
2025-03-11 10:31:49.673,Pan,Yellow1,"(194, 92)"
2025-03-11 10:31:50.082,Pan,Yellow1,"(194, 91)"
2025-03-11 10:31:50.084,End Pan,Yellow1,
2025-03-11 10:31:50.637,Start Pan,Yellow1,
2025-03-11 10:31:50.643,Pan,Yellow1,"(196, 137)"
2025-03-11 10:31:50.878,Pan,Yellow1,"(198, 127)"
2025-03-11 10:31:51.038,Pan,Yellow1,"(198, 119)"
2025-03-11 10:31:51.045,Pan,Yellow1,"(198, 118)"
2025-03-11 10:31:51.072,Pan,Yellow1,"(198, 117)"
2025-03-11 10:31:51.179,Pan,Yellow1,"(198, 112)"
2025-03-11 10:31:51.186,Pan,Yellow1,"(198, 111)"
2025-03-11 10:31:51.267,Pan,Yellow1,"(198, 110)"
2025-03-11 10:31:51.268,End Pan,Yellow1,
2025-03-11 10:31:51.922,Start Scroll,Yellow1,
